
Ingredient_Name,INCI_Name,Primary_Function,Anti_Aging_Effectiveness,Acne_Effectiveness,Hyperpigmentation_Effectiveness,Hydration_Effectiveness,Sensitivity_Effectiveness,Clinical_Studies_Count,Evidence_Level,Optimal_Concentration_Min,Optimal_Concentration_Max,Time_To_Results_Weeks,Mechanism_Of_Action,Synergistic_Partners,Antagonistic_Ingredients,pH_Stability_Min,pH_Stability_Max,Molecular_Weight,Penetration_Ability,Cost_Effectiveness_Rating,Availability_Rating,Tolerability_Rating,Pregnancy_Safe,Breastfeeding_Safe,Usage_Notes_EN,Usage_Notes_AR
Inulin,Inulin,Prebiotic/Conditioning,3.5,3.5,2.0,6.0,8.5,20,Low,0.5,5.0,4,Prebiotic fiber for skin conditioning,Probiotics; Hyaluronic Acid; Ceramides,None known,4.0,8.0,Variable,Low,6.5,7.5,8.5,Yes,Yes,Prebiotic that feeds beneficial bacteria,بريبيوتيك يغذي البكتيريا المفيدة
Alpha-Glucan Oligosaccharide,Alpha-Glucan Oligosaccharide,Prebiotic/Conditioning,4.0,4.0,2.5,6.5,8.5,15,Low,0.5,3.0,4,Prebiotic sugar for microbiome,Probiotics; Inulin; Hyaluronic Acid,None known,4.0,8.0,Variable,Low,5.5,6.5,8.5,Yes,Yes,Prebiotic sugar for skin balance,سكر بريبيوتيك لتوازن البشرة
Polymnia Sonchifolia Root Juice,Polymnia Sonchifolia Root Juice,Prebiotic/Hydrating,3.5,3.0,2.0,7.0,8.5,10,Low,1.0,10.0,4,Natural prebiotic from yacon root,Other prebiotics; Probiotics; Hyaluronic Acid,None known,4.0,7.0,Variable,Medium,5.0,6.0,8.5,Yes,Yes,Natural prebiotic from South American root,بريبيوتيك طبيعي من جذر أمريكا الجنوبية
Bakuchiol,Bakuchiol,Retinol Alternative,7.0,5.5,5.5,5.0,8.5,25,Medium,0.1,2.0,12,Plant-based retinol alternative,Vitamin C; Niacinamide; Hyaluronic Acid,None known,4.0,7.0,256.34,Medium,4.5,5.5,8.5,Yes,Yes,Natural retinol alternative safe for pregnancy,بديل طبيعي للريتينول آمن للحمل
Rosemary Leaf Extract,Rosmarinus Officinalis Leaf Extract,Antioxidant/Preservative,5.0,4.5,3.0,3.0,8.0,60,Medium,0.1,3.0,4,Natural antioxidant and preservative,Vitamin E; Other antioxidants; Natural preservatives,None known,4.0,7.0,Variable,Medium,7.5,8.5,8.5,Yes,Yes,Natural preservative with antioxidant benefits,حافظة طبيعية مع فوائد مضادة للأكسدة
Grapefruit Seed Extract,Citrus Paradisi Seed Extract,Antimicrobial/Antioxidant,4.0,5.5,4.0,3.0,7.0,40,Medium,0.1,2.0,3,Natural antimicrobial and antioxidant,Other citrus extracts; Natural preservatives,None known,4.0,7.0,Variable,Medium,6.5,7.5,7.5,Yes,Yes,Natural antimicrobial from grapefruit,مضاد ميكروبي طبيعي من الجريب فروت
Olive Leaf Extract,Olea Europaea Leaf Extract,Antioxidant/Anti-inflammatory,5.5,4.5,4.0,4.0,8.5,45,Medium,0.1,3.0,6,Rich in oleuropein and antioxidants,Vitamin E; Other antioxidants; Squalane,None known,4.0,7.0,Variable,Medium,6.0,7.0,8.5,Yes,Yes,Mediterranean antioxidant with anti-inflammatory benefits,مضاد أكسدة متوسطي مع فوائد مضادة للالتهاب
Honeysuckle Extract,Lonicera Japonica Extract,Antimicrobial/Soothing,4.0,5.0,3.0,4.5,8.5,30,Medium,0.5,5.0,3,Natural antimicrobial and soothing,Other plant extracts; Natural preservatives,None known,4.0,7.0,Variable,Medium,6.5,7.5,8.5,Yes,Yes,Traditional antimicrobial with soothing properties,مضاد ميكروبي تقليدي مع خصائص مهدئة
Chrysanthemum Extract,Chrysanthemum Morifolium Extract,Anti-inflammatory/Soothing,4.5,4.0,3.5,5.0,9.0,25,Low,0.5,3.0,4,Traditional anti-inflammatory herb,Chamomile; Other soothing extracts; Allantoin,None known,4.0,7.0,Variable,Medium,6.0,7.0,9.0,Yes,Yes,Traditional Asian soothing herb,عشبة آسيوية تقليدية مهدئة
Peony Extract,Paeonia Lactiflora Root Extract,Anti-inflammatory/Brightening,5.0,4.0,5.5,4.5,8.5,20,Low,0.5,3.0,6,Traditional brightening and soothing,Licorice Extract; Arbutin; Vitamin C,None known,4.0,7.0,Variable,Medium,5.5,6.5,8.5,Yes,Yes,Traditional Asian brightening ingredient,مكون تبييض آسيوي تقليدي
Goji Berry Extract,Lycium Barbarum Fruit Extract,Antioxidant/Anti-aging,5.0,3.5,4.0,5.0,8.5,30,Medium,0.5,3.0,6,Superfruit rich in antioxidants,Vitamin C; Other berry extracts; Peptides,None known,4.0,7.0,Variable,Medium,5.5,6.5,8.5,Yes,Yes,Antioxidant-rich superfruit,فاكهة فائقة غنية بمضادات الأكسدة
Schisandra Extract,Schisandra Chinensis Extract,Adaptogen/Anti-aging,5.5,3.5,4.0,5.0,8.5,15,Low,0.1,2.0,8,Adaptogenic berry for skin stress,Ginseng; Other adaptogens; Antioxidants,None known,4.0,7.0,Variable,Medium,4.5,5.5,8.5,Yes,Yes,Adaptogenic berry for skin resilience,توت تكيفي لمرونة البشرة
Reishi Mushroom Extract,Ganoderma Lucidum Extract,Anti-inflammatory/Anti-aging,5.5,4.0,4.0,5.5,9.0,25,Low,0.1,2.0,8,Medicinal mushroom for skin health,Other mushroom extracts; Adaptogens,None known,4.0,7.0,Variable,Medium,4.0,5.0,9.0,Yes,Yes,Medicinal mushroom for skin wellness,فطر طبي لعافية البشرة
Shiitake Mushroom Extract,Lentinula Edodes Extract,Brightening/Anti-aging,5.0,4.0,5.0,5.0,8.5,20,Low,0.1,2.0,6,Mushroom extract for skin brightening,Kojic Acid; Vitamin C; Other mushroom extracts,None known,4.0,7.0,Variable,Medium,4.5,5.5,8.5,Yes,Yes,Edible mushroom with skin benefits,فطر صالح للأكل مع فوائد للبشرة
Tremella Mushroom Extract,Tremella Fuciformis Extract,Hydrating/Anti-aging,4.5,3.0,3.0,8.0,9.0,15,Low,0.5,5.0,4,Snow mushroom for intense hydration,Hyaluronic Acid; Other mushroom extracts,None known,4.0,7.0,Variable,Medium,4.0,5.0,9.0,Yes,Yes,Snow mushroom with superior hydrating properties,فطر الثلج مع خصائص ترطيب فائقة
Snow Mushroom Extract,Tremella Fuciformis Extract,Hydrating/Plumping,4.5,3.0,3.0,8.5,9.0,12,Low,0.5,5.0,4,Natural hyaluronic acid alternative,Hyaluronic Acid; Tremella Extract,None known,4.0,7.0,Variable,Medium,4.0,5.0,9.0,Yes,Yes,Natural alternative to hyaluronic acid,بديل طبيعي لحمض الهيالورونيك
Marine Collagen,Hydrolyzed Marine Collagen,Anti-aging/Firming,6.0,3.0,3.0,6.5,8.5,40,Medium,0.1,5.0,12,Marine-derived collagen peptides,Peptides; Hyaluronic Acid; Vitamin C,None known,4.0,7.0,Variable,Medium,5.0,6.0,8.5,Yes,Yes,Marine-sourced collagen for firmness,كولاجين بحري المصدر للثبات
Hydrolyzed Collagen,Hydrolyzed Collagen,Anti-aging/Hydrating,5.5,3.0,3.0,7.0,8.5,60,Medium,0.1,10.0,10,Broken down collagen for absorption,Marine Collagen; Peptides; Hyaluronic Acid,None known,4.0,7.0,Variable,Low,6.5,7.5,8.5,Yes,Yes,Hydrolyzed for better skin absorption,محلل مائياً لامتصاص أفضل للبشرة
Elastin,Hydrolyzed Elastin,Firming/Anti-aging,5.0,2.5,2.5,6.0,8.5,30,Medium,0.1,3.0,12,Protein for skin elasticity,Collagen; Peptides; Hyaluronic Acid,None known,4.0,7.0,Variable,Low,5.5,6.5,8.5,Yes,Yes,Protein that maintains skin elasticity,بروتين يحافظ على مرونة البشرة
Silk Protein,Hydrolyzed Silk,Conditioning/Smoothing,4.0,2.5,2.0,6.5,8.5,25,Low,0.1,3.0,6,Silk-derived protein for smoothness,Other proteins; Hyaluronic Acid; Ceramides,None known,4.0,7.0,Variable,Low,5.0,6.0,8.5,Yes,Yes,Luxurious protein for skin smoothness,بروتين فاخر لنعومة البشرة
Keratin,Hydrolyzed Keratin,Strengthening/Conditioning,4.0,2.5,2.0,5.5,8.0,35,Medium,0.1,3.0,8,Structural protein for skin strength,Other proteins; Ceramides; Amino acids,None known,4.0,7.0,Variable,Low,5.5,6.5,8.5,Yes,Yes,Structural protein for skin integrity,بروتين هيكلي لسلامة البشرة
Wheat Protein,Hydrolyzed Wheat Protein,Film-forming/Conditioning,3.5,2.5,2.0,5.5,8.0,30,Medium,0.1,3.0,6,Plant protein for film formation,Other plant proteins; Hyaluronic Acid,None known,4.0,7.0,Variable,Low,6.5,7.5,8.5,Yes,Yes,Plant-based protein for skin conditioning,بروتين نباتي لتكييف البشرة
Rice Protein,Hydrolyzed Rice Protein,Conditioning/Brightening,4.0,3.0,4.0,5.5,8.5,20,Low,0.1,2.0,6,Gentle plant protein,Other plant proteins; Rice extracts,None known,4.0,7.0,Variable,Low,6.0,7.0,8.5,Yes,Yes,Gentle plant protein with brightening properties,بروتين نباتي لطيف مع خصائص تبييض
Oat Protein,Hydrolyzed Oat Protein,Soothing/Conditioning,4.0,3.5,2.5,6.5,9.0,25,Low,0.1,3.0,4,Soothing plant protein,Oat Extract; Other soothing ingredients,None known,4.0,7.0,Variable,Low,6.5,7.5,9.0,Yes,Yes,Soothing protein for sensitive skin,بروتين مهدئ للبشرة الحساسة
Quinoa Protein,Hydrolyzed Quinoa,Conditioning/Antioxidant,4.0,3.0,3.0,6.0,8.5,15,Low,0.1,2.0,6,Superfood protein with antioxidants,Other plant proteins; Antioxidants,None known,4.0,7.0,Variable,Low,5.0,6.0,8.5,Yes,Yes,Superfood protein with conditioning benefits,بروتين غذاء فائق مع فوائد تكييفية
Pea Protein,Hydrolyzed Pea Protein,Conditioning/Firming,4.0,3.0,2.5,5.5,8.5,20,Low,0.1,2.0,8,Plant protein for skin firmness,Other plant proteins; Peptides,None known,4.0,7.0,Variable,Low,5.5,6.5,8.5,Yes,Yes,Plant protein that supports skin firmness,بروتين نباتي يدعم ثبات البشرة
Soy Protein,Hydrolyzed Soy Protein,Anti-aging/Conditioning,5.0,3.5,4.5,5.5,8.5,35,Medium,0.1,3.0,8,Isoflavone-rich plant protein,Soy Extract; Other plant proteins; Peptides,None known,4.0,7.0,Variable,Low,6.5,7.5,8.5,Yes,Yes,Isoflavone-rich protein with anti-aging benefits,بروتين غني بالإيزوفلافون مع فوائد مكافحة الشيخوخة
Snail Secretion Filtrate,Snail Secretion Filtrate,Healing/Anti-aging,6.5,6.0,5.0,7.0,8.0,45,Medium,10.0,96.0,8,Mucin for healing and regeneration,Hyaluronic Acid; Peptides; Allantoin,None known,4.0,7.0,Variable,Medium,4.5,5.5,8.5,Yes,Yes,K-beauty ingredient for healing and hydration,مكون الجمال الكوري للشفاء والترطيب
Bee Venom,Bee Venom,Anti-aging/Firming,7.0,4.0,3.0,4.0,6.0,20,Low,0.001,0.01,12,Stimulates collagen production,Peptides; Hyaluronic Acid; Anti-inflammatory agents,None known,4.0,7.0,Variable,High,3.0,4.0,6.5,No,No,May cause allergic reactions. Avoid during pregnancy,قد يسبب ردود فعل تحسسية. تجنب أثناء الحمل
Royal Jelly,Royal Jelly,Anti-aging/Nourishing,5.0,3.5,3.5,6.0,7.5,30,Medium,0.1,5.0,8,Nutrient-rich bee product,Honey; Propolis; Peptides,None known,4.0,7.0,Variable,Medium,4.0,5.0,8.0,Yes,Yes,Nutrient-dense bee product for skin nourishment,منتج نحل كثيف العناصر الغذائية لتغذية البشرة
Propolis,Propolis,Antimicrobial/Healing,5.5,6.5,4.0,4.5,8.0,50,Medium,0.1,10.0,4,Bee resin with antimicrobial properties,Honey; Royal Jelly; Tea Tree Oil,None known,4.0,7.0,Variable,Medium,5.0,6.5,8.5,Yes,Yes,Natural antimicrobial and healing agent,مضاد ميكروبي طبيعي وعامل شفاء
Honey,Honey,Humectant/Antimicrobial,4.0,5.0,3.0,7.5,8.5,80,High,5.0,50.0,2,Natural humectant with antimicrobial properties,Propolis; Royal Jelly; Oat Extract,None known,3.5,7.0,Variable,Medium,8.0,9.0,8.5,Yes,Yes,Natural humectant with gentle antimicrobial benefits,مرطب طبيعي مع فوائد مضادة للميكروبات لطيفة
Manuka Honey,Leptospermum Scoparium Mel,Antimicrobial/Healing,4.5,6.0,3.5,7.5,8.5,40,Medium,5.0,30.0,3,Medical-grade honey with strong antimicrobial properties,Other honey types; Propolis; Healing agents,None known,3.5,7.0,Variable,Medium,4.5,6.0,8.5,Yes,Yes,Medical-grade honey with superior healing properties,عسل طبي مع خصائص شفاء فائقة
Milk Protein,Hydrolyzed Milk Protein,Conditioning/Soothing,4.0,3.0,3.0,6.5,8.5,35,Medium,0.1,5.0,6,Gentle protein for skin conditioning,Lactic Acid; Other proteins; Ceramides,None known,4.0,7.0,Variable,Low,6.5,7.5,8.5,Yes,Yes,Gentle dairy protein for skin softness,بروتين ألبان لطيف لنعومة البشرة
Goat Milk Extract,Caprae Lac,Conditioning/Exfoliating,4.5,4.0,4.0,7.0,8.5,25,Low,5.0,50.0,4,Natural AHA and proteins from goat milk,Lactic Acid; Milk Protein; Ceramides,None known,4.0,7.0,Variable,Medium,5.0,6.5,8.5,Yes,Yes,Natural source of lactic acid and proteins,مصدر طبيعي لحمض اللاكتيك والبروتينات
Donkey Milk,Equus Asinus Milk,Anti-aging/Conditioning,5.0,3.5,4.0,7.5,8.5,15,Low,10.0,50.0,6,Luxury milk with anti-aging properties,Other milk extracts; Proteins; Ceramides,None known,4.0,7.0,Variable,Medium,3.0,4.0,8.5,Yes,Yes,Luxury ingredient with historical beauty use,مكون فاخر مع استخدام تاريخي في الجمال
Camel Milk,Camelus Dromedarius Milk,Conditioning/Healing,4.5,4.0,3.5,7.0,8.5,10,Low,5.0,30.0,6,Desert milk with healing properties,Other milk extracts; Healing agents,None known,4.0,7.0,Variable,Medium,2.5,3.5,8.5,Yes,Yes,Traditional desert ingredient for skin healing,مكون صحراوي تقليدي لشفاء البشرة
Pearl Powder,Pearl Powder,Brightening/Anti-aging,5.5,3.0,6.5,4.0,8.0,30,Medium,0.1,5.0,12,Calcium carbonate and amino acids for brightening,Vitamin C; Arbutin; Other brightening agents,None known,4.0,8.0,Variable,Low,3.5,4.5,8.5,Yes,Yes,Traditional Asian brightening ingredient,مكون تبييض آسيوي تقليدي
Gold,Gold,Anti-aging/Luxury,4.0,2.0,3.0,3.0,8.0,15,Low,0.001,0.1,12,Luxury metal for anti-aging treatments,Peptides; Hyaluronic Acid; Other luxury ingredients,None known,4.0,8.0,196.97,Low,1.0,2.0,8.5,Yes,Yes,Luxury ingredient with minimal proven benefits,مكون فاخر مع فوائد مثبتة قليلة
Platinum,Platinum,Antioxidant/Anti-aging,4.5,2.5,3.0,3.0,8.0,10,Low,0.001,0.05,12,Precious metal with antioxidant properties,Gold; Other precious metals; Antioxidants,None known,4.0,8.0,195.08,Low,0.5,1.5,8.5,Yes,Yes,Rare luxury ingredient with antioxidant claims,مكون فاخر نادر مع ادعاءات مضادة للأكسدة
Diamond Powder,Diamond Powder,Exfoliant/Luxury,3.0,3.0,2.0,2.0,7.0,5,Low,0.1,2.0,8,Physical exfoliant and luxury ingredient,Other physical exfoliants; Luxury ingredients,Chemical exfoliants,4.0,8.0,12.01,Low,0.5,1.0,7.5,Yes,Yes,Luxury physical exfoliant,مقشر فيزيائي فاخر
Caviar Extract,Caviar Extract,Anti-aging/Nourishing,5.5,3.0,4.0,6.0,8.0,20,Low,0.1,5.0,12,Nutrient-rich marine extract,Marine Collagen; Peptides; Omega fatty acids,None known,4.0,7.0,Variable,Medium,2.0,3.0,8.5,Yes,Yes,Luxury marine ingredient rich in nutrients,مكون بحري فاخر غني بالعناصر الغذائية
Truffle Extract,Tuber Melanosporum Extract,Anti-aging/Antioxidant,5.0,3.0,4.0,5.0,8.0,10,Low,0.1,2.0,12,Luxury fungus with antioxidant properties,Other luxury extracts; Antioxidants,None known,4.0,7.0,Variable,Medium,1.5,2.5,8.5,Yes,Yes,Luxury fungal extract with antioxidant benefits,مستخلص فطري فاخر مع فوائد مضادة للأكسدة
Black Truffle Extract,Tuber Melanosporum Extract,Luxury Anti-aging,5.0,3.0,4.0,5.0,8.0,8,Low,0.1,1.0,12,Premium fungal extract,Other truffle extracts; Luxury ingredients,None known,4.0,7.0,Variable,Medium,1.0,2.0,8.5,Yes,Yes,Most expensive truffle variety for skincare,أغلى أنواع الكمأة لمستحضرات التجميل
White Truffle Extract,Tuber Magnatum Extract,Luxury Anti-aging,5.0,3.0,4.0,5.0,8.0,5,Low,0.1,1.0,12,Ultra-premium fungal extract,Black Truffle Extract; Other luxury ingredients,None known,4.0,7.0,Variable,Medium,0.5,1.5,8.5,Yes,Yes,Rarest truffle variety for luxury skincare,أندر أنواع الكمأة لمستحضرات التجميل الفاخرة
Stem Cell Extract,Plant Stem Cell Extract,Anti-aging/Regenerating,6.0,4.0,4.5,5.5,8.0,25,Medium,0.1,5.0,12,Plant stem cells for skin regeneration,Peptides; Growth factors; Antioxidants,None known,4.0,7.0,Variable,Medium,3.5,5.0,8.5,Yes,Yes,Plant-derived stem cells for skin renewal,خلايا جذعية نباتية لتجديد البشرة
Apple Stem Cell Extract,Malus Domestica Fruit Cell Culture Extract,Anti-aging/Protective,6.0,3.5,4.0,5.0,8.5,20,Low,0.1,3.0,12,Swiss apple stem cells for longevity,Other stem cell extracts; Antioxidants,None known,4.0,7.0,Variable,Medium,3.0,4.5,8.5,Yes,Yes,Swiss apple stem cells for skin longevity,خلايا جذعية من التفاح السويسري لطول عمر البشرة
Grape Stem Cell Extract,Vitis Vinifera Fruit Cell Culture Extract,Antioxidant/Anti-aging,6.0,3.5,5.0,4.5,8.5,15,Low,0.1,3.0,12,Grape stem cells with antioxidants,Resveratrol; Other grape extracts; Stem cells,None known,4.0,7.0,Variable,Medium,3.0,4.0,8.5,Yes,Yes,Antioxidant-rich grape stem cells,خلايا جذعية من العنب غنية بمضادات الأكسدة
Argan Stem Cell Extract,Argania Spinosa Callus Culture Extract,Anti-aging/Protective,5.5,3.5,4.0,5.0,8.5,12,Low,0.1,2.0,12,Moroccan argan stem cells,Argan Oil; Other stem cell extracts,None known,4.0,7.0,Variable,Medium,2.5,3.5,8.5,Yes,Yes,Moroccan argan stem cells for protection,خلايا جذعية من الأرغان المغربي للحماية
Edelweiss Stem Cell Extract,Leontopodium Alpinum Callus Culture Extract,Protective/Anti-aging,5.5,3.0,4.0,4.5,9.0,10,Low,0.1,2.0,12,Alpine flower stem cells,Other stem cell extracts; Protective agents,None known,4.0,7.0,Variable,Medium,2.0,3.0,9.0,Yes,Yes,Alpine flower stem cells for environmental protection,خلايا جذعية من زهرة جبال الألب للحماية البيئية
Sea Buckthorn Stem Cell Extract,Hippophae Rhamnoides Callus Culture Extract,Healing/Anti-aging,5.5,4.0,4.5,5.5,8.5,8,Low,0.1,2.0,12,Arctic berry stem cells,Sea Buckthorn Oil; Other stem cell extracts,None known,4.0,7.0,Variable,Medium,2.0,3.0,8.5,Yes,Yes,Arctic berry stem cells for healing,خلايا جذعية من توت القطب الشمالي للشفاء
Growth Factors,Growth Factors,Anti-aging/Regenerating,7.5,4.0,4.0,5.0,7.0,40,Medium,0.001,0.1,16,Proteins that stimulate cell growth,Peptides; Stem cell extracts; Hyaluronic Acid,None known,4.0,7.0,Variable,High,2.5,4.0,8.0,Yes,Yes,Bioactive proteins for skin regeneration,بروتينات نشطة بيولوجياً لتجديد البشرة
EGF (Epidermal Growth Factor),sh-Oligopeptide-1,Anti-aging/Healing,8.0,5.0,4.5,5.0,7.5,35,Medium,0.001,0.05,12,Stimulates epidermal cell growth,Other growth factors; Peptides; Hyaluronic Acid,None known,4.0,7.0,6045,High,2.0,3.5,8.0,Yes,Yes,Promotes skin cell renewal and healing,يعزز تجديد خلايا البشرة والشفاء
FGF (Fibroblast Growth Factor),sh-Polypeptide-1,Anti-aging/Firming,7.5,4.0,4.0,5.0,7.5,25,Medium,0.001,0.05,16,Stimulates fibroblast activity,EGF; Other growth factors; Collagen,None known,4.0,7.0,Variable,High,1.5,3.0,8.0,Yes,Yes,Stimulates collagen production and skin firmness,يحفز إنتاج الكولاجين وثبات البشرة
IGF-1 (Insulin-like Growth Factor),sh-Polypeptide-31,Anti-aging/Metabolic,7.0,4.0,4.0,5.5,7.5,20,Low,0.001,0.03,16,Regulates cellular metabolism,Other growth factors; Peptides,None known,4.0,7.0,7649,High,1.0,2.5,8.0,Yes,Yes,Regulates skin cell metabolism and renewal,ينظم عملية التمثيل الغذائي لخلايا البشرة والتجديد
PDGF (Platelet-Derived Growth Factor),sh-Polypeptide-11,Healing/Anti-aging,7.0,5.0,4.0,4.5,7.5,15,Low,0.001,0.03,12,Promotes wound healing,EGF; FGF; Other growth factors,None known,4.0,7.0,Variable,High,1.0,2.0,8.0,Yes,Yes,Accelerates wound healing and tissue repair,يسرع شفاء الجروح وإصلاح الأنسجة
TGF-β (Transforming Growth Factor),sh-Polypeptide-4,Anti-aging/Remodeling,6.5,4.0,4.0,4.5,7.0,12,Low,0.001,0.02,16,Regulates tissue remodeling,Other growth factors; Collagen boosters,None known,4.0,7.0,Variable,High,0.8,2.0,7.5,Yes,Yes,Regulates skin remodeling and repair processes,ينظم عمليات إعادة تشكيل البشرة والإصلاح
VEGF (Vascular Endothelial Growth Factor),sh-Polypeptide-9,Circulation/Anti-aging,6.0,4.0,4.0,5.0,7.5,10,Low,0.001,0.02,12,Promotes blood vessel formation,Other growth factors; Circulation boosters,None known,4.0,7.0,Variable,High,0.5,1.5,8.0,Yes,Yes,Improves skin circulation and nutrient delivery,يحسن الدورة الدموية للبشرة وتوصيل العناصر الغذائية
Exosomes,Exosomes,Regenerating/Communication,7.0,4.5,4.5,5.5,8.0,15,Low,0.001,0.1,20,Cell-to-cell communication vesicles,Growth factors; Stem cell extracts; Peptides,None known,4.0,7.0,Variable,High,1.0,2.5,8.5,Yes,Yes,Cutting-edge cell communication technology,تقنية اتصال خلوي متطورة
Liposomes,Liposomes,Delivery System,3.0,3.0,3.0,5.0,8.5,100,High,0.1,10.0,4,Phospholipid vesicles for ingredient delivery,Active ingredients; Phospholipids,None known,4.0,8.0,Variable,High,6.0,7.5,8.5,Yes,Yes,Enhances penetration and delivery of active ingredients,يعزز اختراق وتوصيل المكونات النشطة
Nanoparticles,Nanoparticles,Delivery System,3.5,3.5,3.5,4.0,7.5,80,High,0.01,5.0,2,Nano-sized particles for enhanced delivery,Various active ingredients,None known,4.0,8.0,Variable,Very High,5.5,7.0,8.0,Yes,Yes,Nano-technology for improved ingredient penetration,تقنية النانو لتحسين اختراق المكونات
Microspheres,Microspheres,Delivery System/Texture,3.0,3.0,3.0,4.5,8.0,60,Medium,0.1,10.0,4,Spherical particles for controlled release,Various actives; Texture enhancers,None known,4.0,8.0,Variable,Medium,6.5,8.0,8.5,Yes,Yes,Controlled release technology for sustained benefits,تقنية الإطلاق المتحكم فيه للفوائد المستدامة
Cyclodextrins,Cyclodextrins,Stabilizer/Delivery,3.0,3.0,3.0,4.0,8.5,70,High,0.1,5.0,4,Ring-shaped molecules for ingredient stabilization,Unstable actives; Fragrances; Essential oils,None known,4.0,8.0,Variable,Medium,6.0,7.5,8.5,Yes,Yes,Molecular cages that stabilize and deliver actives,أقفاص جزيئية تثبت وتوصل المكونات النشطة
Encapsulation Technology,Encapsulated Actives,Delivery System,4.0,4.0,4.0,4.5,8.5,50,Medium,Variable,Variable,Variable,Protected delivery of sensitive ingredients,Sensitive actives; Delivery systems,None known,4.0,8.0,Variable,High,5.0,6.5,8.5,Yes,Yes,Protects sensitive ingredients until application,يحمي المكونات الحساسة حتى التطبيق
Mineral Oil,Mineral Oil,Occlusive/Emollient,3.0,2.0,1.0,6.5,7.0,200,Very High,5.0,100.0,1,Forms protective barrier on skin,Petrolatum; Other occlusives,None known,4.0,8.0,Variable,Low,9.5,9.5,7.5,Yes,Yes,Highly refined petroleum derivative. Non-comedogenic when pure,مشتق بترولي عالي التكرير. غير مسدود للمسام عند النقاء
Petrolatum,Petrolatum,Occlusive/Healing,3.5,2.0,1.0,7.5,8.0,300,Very High,10.0,100.0,1,Superior occlusive barrier,Mineral Oil; Other occlusives,None known,4.0,8.0,Variable,Low,9.5,9.5,8.5,Yes,Yes,Most effective occlusive agent. Excellent for healing,أكثر العوامل الانسدادية فعالية. ممتاز للشفاء
Lanolin,Lanolin,Emollient/Occlusive,4.0,2.0,1.0,8.0,6.5,150,High,5.0,50.0,2,Wool-derived emollient,Lanolin Alcohol; Other emollients,None known,4.0,8.0,Variable,Medium,8.0,8.5,7.0,Yes,Yes,Natural wool wax. May cause sensitivity in some,شمع صوف طبيعي. قد يسبب حساسية لدى البعض
Lanolin Alcohol,Lanolin Alcohol,Emollient/Emulsifier,3.5,2.0,1.0,7.0,7.0,100,High,2.0,20.0,2,Refined lanolin derivative,Lanolin; Other wool derivatives,None known,4.0,8.0,Variable,Medium,7.5,8.0,7.5,Yes,Yes,Purified lanolin with reduced allergenicity,لانولين منقى مع تقليل الحساسية
Beeswax,Cera Alba,Emulsifier/Thickener,3.0,2.0,1.0,6.0,8.0,120,High,2.0,25.0,1,Natural wax emulsifier,Carnauba Wax; Other natural waxes,None known,4.0,8.0,Variable,Low,8.5,9.0,8.5,Yes,Yes,Natural emulsifier and thickener from bees,مستحلب ومثخن طبيعي من النحل
Carnauba Wax,Copernicia Cerifera Wax,Emulsifier/Gloss,2.5,1.5,1.0,4.0,8.5,80,High,1.0,15.0,1,Hard natural wax for gloss,Beeswax; Other natural waxes,None known,4.0,8.0,Variable,Low,7.5,8.5,8.5,Yes,Yes,Hardest natural wax. Provides high gloss,أصلب شمع طبيعي. يوفر لمعاناً عالياً
Candelilla Wax,Euphorbia Cerifera Wax,Emulsifier/Vegan Alternative,2.5,1.5,1.0,4.5,8.5,60,Medium,1.0,15.0,1,Vegan alternative to beeswax,Carnauba Wax; Other plant waxes,None known,4.0,8.0,Variable,Low,7.0,8.0,8.5,Yes,Yes,Plant-based vegan wax alternative,بديل شمع نباتي للنباتيين
Japan Wax,Rhus Vernicifera Peel Wax,Emulsifier/Natural,2.5,1.5,1.0,5.0,8.0,40,Medium,1.0,10.0,1,Traditional Asian wax,Other natural waxes; Plant-based emulsifiers,None known,4.0,8.0,Variable,Low,6.0,7.0,8.5,Yes,Yes,Traditional Japanese plant wax,شمع نباتي ياباني تقليدي
Sunflower Wax,Helianthus Annuus Seed Wax,Emulsifier/Natural,3.0,2.0,1.0,5.5,8.5,30,Low,1.0,10.0,1,Natural plant wax,Other plant waxes; Sunflower oil,None known,4.0,8.0,Variable,Low,6.5,7.5,8.5,Yes,Yes,Natural wax from sunflower processing,شمع طبيعي من معالجة عباد الشمس
Rice Bran Wax,Oryza Sativa Bran Wax,Emulsifier/Natural,2.5,2.0,2.0,5.0,8.5,25,Low,1.0,8.0,1,Asian plant wax,Rice Bran Oil; Other plant waxes,None known,4.0,8.0,Variable,Low,6.0,7.0,8.5,Yes,Yes,Natural wax from rice processing,شمع طبيعي من معالجة الأرز
Coconut Oil,Cocos Nucifera Oil,Emollient/Antimicrobial,4.5,5.5,2.0,7.0,6.5,200,Very High,5.0,100.0,2,Saturated oil with antimicrobial properties,Lauric Acid; Other tropical oils,None known,4.0,8.0,Variable,High,9.0,9.5,7.0,Yes,Yes,May be comedogenic for some. Rich in lauric acid,قد يسدد المسام لدى البعض. غني بحمض اللوريك
Fractionated Coconut Oil,Caprylic/Capric Triglyceride,Emollient/Lightweight,3.5,3.0,1.0,6.5,8.5,150,High,5.0,50.0,1,Lightweight coconut oil fraction,Coconut Oil; Other light oils,None known,4.0,8.0,Variable,High,8.5,9.0,8.5,Yes,Yes,Non-comedogenic lightweight oil,زيت خفيف غير مسدود للمسام
